Points:0,Points:1,
0,0,0
0,0.0041,0
0,0.0082,0
0,0.0123,0
0,0.0164,0
0,0.0205,0
0,0.0246,0
0,0.0287,0
0,0.0328,0
0,0.0369,0
0,0.041,0
0,0.0451,0
0,0.0492,0
0,0.0533,0
0,0.0574,0
0,0.0615,0
0,0.0656,0
0,0.0697,0
0,0.0738,0
0,0.0779,0
0,0.082,0
0,0.0861,0
0,0.0902,0
0,0.0943,0
0,0.0984,0
0,0.1025,0
0,0.1066,0
0,0.1107,0
0,0.1148,0
0,0.1189,0
0,0.123,0
0,0.1271,0
0,0.1312,0
0,0.1353,0
0,0.1394,0
0,0.1435,0
0,0.1476,0
0,0.1517,0
0,0.1558,0
0,0.1599,0
0,0.164,0
0,0.1681,0
0,0.1722,0
0,0.1763,0
0,0.1804,0
0,0.1845,0
0,0.1886,0
0,0.1927,0
0,0.1968,0
0,0.2009,0
0,0.205,0
0,0.2091,0
0,0.2132,0
0,0.2173,0
0,0.2214,0
0,0.2255,0
0,0.2296,0
0,0.2337,0
0,0.2378,0
0,0.2419,0
0,0.246,0
0,0.2501,0
0,0.2542,0
0,0.2583,0
0,0.2624,0
0,0.2665,0
0,0.2706,0
0,0.2747,0
0,0.2788,0
0,0.2829,0
0,0.287,0
0,0.2911,0
0,0.2952,0
0,0.2993,0
0,0.3034,0
0,0.3075,0
0,0.3116,0
0,0.3157,0
0,0.3198,0
0,0.3239,0
0,0.328,0
0,0.3321,0
0,0.3362,0
0,0.3403,0
0,0.3444,0
0,0.3485,0
0,0.3526,0
0,0.3567,0
0,0.3608,0
0,0.3649,0
0,0.369,0
0,0.3731,0
0,0.3772,0
0,0.3813,0
0,0.3854,0
0,0.3895,0
0,0.3936,0
0,0.3977,0
0,0.4018,0
0,0.4059,0
0,0.41,0
